gender,first_name,year,N,pct
Garçons,Abdullah,2005-12-31,24,0.6
Garçons,Abdullah,2006-12-31,33,0.375
Garçons,Abdullah,2007-12-31,18,-0.45454545454545453
Garçons,Abdullah,2008-12-31,21,0.16666666666666666
Garçons,Abdullah,2009-12-31,19,-0.09523809523809523
Garçons,Abdullah,2010-12-31,14,-0.2631578947368421
Garçons,Abdullah,2013-12-31,13,-0.07142857142857142
Garçons,Abel,2014-12-31,23,NA
Garçons,Abel,2015-12-31,31,0.34782608695652173
Garçons,Abel,2016-12-31,32,0.03225806451612903
Garçons,Abel,2017-12-31,32,0
Garçons,Abel,2018-12-31,31,-0.03125
Garçons,Abel,2019-12-31,31,0
Garçons,Abel,2020-12-31,32,0.03225806451612903
Garçons,Abel,2021-12-31,47,0.46875
Garçons,Abel,2022-12-31,45,-0.0425531914893617
Garçons,Abel,2023-12-31,20,-0.5555555555555556
Filles,Abigael,2002-12-31,13,NA
Filles,Abigael,2003-12-31,13,0
Filles,Abigael,2005-12-31,15,0.15384615384615385
Filles,Abigael,2006-12-31,18,0.2
Filles,Abigael,2007-12-31,21,0.16666666666666666
Filles,Abigael,2008-12-31,37,0.7619047619047619
Filles,Abigael,2009-12-31,36,-0.02702702702702703
Filles,Abigael,2010-12-31,45,0.25
Filles,Abigael,2011-12-31,36,-0.2
Filles,Abigael,2012-12-31,28,-0.2222222222222222
Filles,Abigael,2013-12-31,31,0.10714285714285714
Filles,Abigael,2014-12-31,38,0.22580645161290322
Filles,Abigael,2015-12-31,37,-0.02631578947368421
Filles,Abigael,2016-12-31,37,0
Filles,Abigael,2017-12-31,40,0.08108108108108109
Filles,Abigael,2018-12-31,48,0.2
Filles,Abigael,2019-12-31,44,-0.08333333333333333
Filles,Abigael,2020-12-31,37,-0.1590909090909091
Filles,Abigael,2021-12-31,36,-0.02702702702702703
Filles,Abigael,2022-12-31,34,-0.05555555555555555
Filles,Abigael,2023-12-31,29,-0.14705882352941177
Filles,Abigaelle,2001-12-31,12,NA
Filles,Abigaelle,2005-12-31,21,0.75
Filles,Abigaelle,2006-12-31,31,0.47619047619047616
Filles,Abigaelle,2007-12-31,23,-0.25806451612903225
Filles,Abigaelle,2008-12-31,41,0.782608695652174
Filles,Abigaelle,2009-12-31,58,0.4146341463414634
Filles,Abigaelle,2010-12-31,49,-0.15517241379310345
Filles,Abigaelle,2011-12-31,62,0.2653061224489796
Filles,Abigaelle,2012-12-31,53,-0.14516129032258066
Filles,Abigaelle,2013-12-31,53,0
Filles,Abigaelle,2014-12-31,63,0.18867924528301888
Filles,Abigaelle,2015-12-31,72,0.14285714285714285
Filles,Abigaelle,2016-12-31,77,0.06944444444444445
Filles,Abigaelle,2017-12-31,72,-0.06493506493506493
Filles,Abigaelle,2018-12-31,77,0.06944444444444445
Filles,Abigaelle,2019-12-31,86,0.11688311688311688
Filles,Abigaelle,2020-12-31,80,-0.06976744186046512
Filles,Abigaelle,2021-12-31,95,0.1875
Filles,Abigaelle,2022-12-31,87,-0.08421052631578947
Filles,Abigaelle,2023-12-31,74,-0.14942528735632185
Filles,Abigail,1994-12-31,12,NA
Filles,Abigail,1997-12-31,16,0.3333333333333333
Filles,Abigail,1998-12-31,15,-0.0625
Filles,Abigail,1999-12-31,22,0.4666666666666667
Filles,Abigail,2000-12-31,25,0.13636363636363635
Filles,Abigail,2001-12-31,19,-0.24
Filles,Abigail,2002-12-31,20,0.05263157894736842
Filles,Abigail,2003-12-31,35,0.75
Filles,Abigail,2004-12-31,30,-0.14285714285714285
Filles,Abigail,2005-12-31,29,-0.03333333333333333
Filles,Abigail,2006-12-31,37,0.27586206896551724
Filles,Abigail,2007-12-31,44,0.1891891891891892
Filles,Abigail,2008-12-31,51,0.1590909090909091
Filles,Abigail,2009-12-31,38,-0.2549019607843137
Filles,Abigail,2010-12-31,41,0.07894736842105263
Filles,Abigail,2011-12-31,54,0.3170731707317073
Filles,Abigail,2012-12-31,48,-0.1111111111111111
Filles,Abigail,2013-12-31,57,0.1875
Filles,Abigail,2014-12-31,49,-0.14035087719298245
Filles,Abigail,2015-12-31,58,0.1836734693877551
Filles,Abigail,2016-12-31,74,0.27586206896551724
Filles,Abigail,2017-12-31,67,-0.0945945945945946
Filles,Abigail,2018-12-31,65,-0.029850746268656716
Filles,Abigail,2019-12-31,66,0.015384615384615385
Filles,Abigail,2020-12-31,46,-0.30303030303030304
Filles,Abigail,2021-12-31,56,0.21739130434782608
Filles,Abigail,2022-12-31,53,-0.05357142857142857
Filles,Abigail,2023-12-31,37,-0.3018867924528302
Garçons,Abraham,1993-12-31,12,NA
Garçons,Abraham,1997-12-31,13,0.08333333333333333
Garçons,Abraham,1998-12-31,16,0.23076923076923078
Garçons,Abraham,2000-12-31,16,0
Garçons,Abraham,2002-12-31,13,-0.1875
Garçons,Abraham,2003-12-31,13,0
Garçons,Abraham,2004-12-31,24,0.8461538461538461
Garçons,Abraham,2005-12-31,19,-0.20833333333333334
